season,district,site,field_lati,field_long,site_latit,site_longi,block_id,seed_id,seed_rate_,seed_cost_,yield_t.ha,EnvIndex_t,RelYield_%,profit_USD,wi1_4326,slope_deg_,sipi91_432,sipi81_432,sipi71_432,savi91_432,savi81_432,savi71_432,npcri91_43,npcri81_43,npcri71_43,ndwi91_432,ndwi81_432,ndwi71_432,ndvi71_432,gci91_4326,gci81_4326,gci71_4326,evi91_4326,evi81_4326,evi71_4326,Composit_1,Composit_2,Composit_3,Composit_4,Composit_5,Composit_6,Composit_7,Composit_8,Composit_9,Composit10,Composit11,Composit12,Composit13,Composit14,Composit15,Composit16,Composit17,Composit18,Composit19,Composit20,Composit21,Composit22,Composit23,Composit24,Composit25,Composit26,Composit27,Composit28,Composit29,Composit30,bsi91_4326,bsi81_4326,bsi71_4326,bi81_4326,bi71_4326,aspect1_43,arvi91_432,arvi81_432,ARVI71_432
LR2018,Ndalu,Lungai,0.776823000000000,34.898870000000002,0.779332000000000,34.903010000000002,"42029",scduma43,7.140000000000000,"52",6.450000000000000,6.000000000000000,7.500000000000000,1957.785000000000082,6.96629,1.67011,1.16258,1.12637,1.07171,0.40432,0.41111,1.07171,0.32201,0.30364,0.27047,-0.59152,-0.60703,-0.67904,0.74803,2.89618,3.08943,4.23122,0.40733,0.41498,0.52708,1723.00000,2648.00000,3224.00000,3265.00000,2994.00000,2683.00000,1425.00000,817.00000,838.00000,419.00000,1244.00000,2128.00000,3011.00000,2706.00000,2397.00000,1344.00000,3018.00000,344.00000,738.00000,644.00000,3552.00000,294.00000,679.00000,512.00000,1036.00000,1887.00000,3490.00000,3262.00000,2722.00000,1130.00000,0.33657,0.14484,0.08552,0.30859,0.35887,33.69007,0.38548,0.44602,0.57947
LR2018,Ndalu,Lungai,0.780950000000000,34.900089999999999,0.779332000000000,34.903010000000002,"42031",scduma43,7.140000000000000,"52",3.880000000000000,3.645000000000000,6.447188000000000,1112.729000000000042,5.73518,5.70288,1.35036,1.09364,1.09918,0.28191,0.46689,1.09918,0.36279,0.26580,0.23780,-0.50889,-0.61616,-0.59004,0.65953,2.07238,3.21046,2.87850,0.26858,0.48786,0.42048,2003.00000,3005.00000,3378.00000,2759.00000,3072.00000,2649.00000,1559.00000,1095.00000,898.00000,512.00000,1327.00000,2503.00000,3921.00000,3470.00000,3121.00000,1428.00000,3461.00000,366.00000,822.00000,631.00000,2905.00000,367.00000,749.00000,596.00000,948.00000,1762.00000,3018.00000,2961.00000,2565.00000,1186.00000,0.29684,0.09621,0.12500,0.35181,0.29655,21.37062,0.19795,0.50403,0.46595
LR2018,Ndalu,Lungai,0.788010000000000,34.904190000000000,0.779332000000000,34.903010000000002,"42037",scduma43,4.440000000000000,"32",6.030000000000000,6.392500000000000,-5.670710000000000,1820.587999999999965,6.73855,4.18822,1.35229,1.21085,1.05096,0.28701,0.34029,1.05096,0.43178,0.31804,0.19670,-0.52802,-0.54412,-0.69154,0.76333,2.23750,2.38710,4.48393,0.26409,0.33641,0.51351,1650.00000,2459.00000,2639.00000,2590.00000,2417.00000,2123.00000,1252.00000,955.00000,800.00000,379.00000,1106.00000,1980.00000,2832.00000,2642.00000,2264.00000,1222.00000,2835.00000,446.00000,837.00000,862.00000,3241.00000,292.00000,591.00000,435.00000,852.00000,1683.00000,3240.00000,3039.00000,2434.00000,921.00000,0.27605,0.21958,0.10319,0.29632,0.32701,173.65981,0.21705,0.31109,0.60481
LR2018,Ndalu,Lungai,0.778967000000000,34.907359999999997,0.779332000000000,34.903010000000002,"42039",scduma43,6.660000000000000,"49",5.300000000000000,4.587500000000000,15.531340000000000,1579.140000000000100,6.44330,2.81610,1.21176,1.11732,1.07078,0.37729,0.43187,1.07078,0.33423,0.31356,0.24284,-0.54978,-0.59018,-0.64510,0.73408,2.44227,2.88025,3.63533,0.37664,0.43702,0.49309,1954.00000,3002.00000,3404.00000,3339.00000,3208.00000,2825.00000,1597.00000,992.00000,970.00000,495.00000,1140.00000,2074.00000,3169.00000,2821.00000,2644.00000,1201.00000,3143.00000,324.00000,810.00000,620.00000,3254.00000,304.00000,702.00000,499.00000,959.00000,1831.00000,3402.00000,3222.00000,2707.00000,1103.00000,0.34832,0.07640,0.06711,0.32036,0.32920,80.53768,0.31798,0.47313,0.56190
LR2018,Ndalu,Lungai,0.770523000000000,34.898400000000002,0.779332000000000,34.903010000000002,"42043",scduma43,5.330000000000000,"39",3.450000000000000,3.465000000000000,-0.432900000000000,970.044499999999971,9.58238,2.19672,1.29588,1.17650,1.10429,0.29698,0.32830,1.10429,0.31758,0.33478,0.29066,-0.51057,-0.56953,-0.62696,0.68348,2.08639,2.64606,3.36133,0.29210,0.31732,0.46028,2391.00000,3292.00000,3012.00000,2858.00000,2720.00000,2412.00000,1595.00000,1087.00000,926.00000,563.00000,1221.00000,2087.00000,2344.00000,2099.00000,1801.00000,1078.00000,2359.00000,306.00000,647.00000,614.00000,3271.00000,338.00000,750.00000,615.00000,1095.00000,2015.00000,3248.00000,2969.00000,2573.00000,1253.00000,0.30577,0.17422,0.11920,0.24376,0.33283,18.43495,0.22288,0.36912,0.49163
LR2018,Ndalu,Lungai,0.778144000000000,34.886450000000004,0.779332000000000,34.903010000000002,"43540",scduma43,7.140000000000000,"52",4.200000000000000,4.077500000000000,3.004292000000000,1216.980000000000018,7.74845,3.81512,1.16961,1.12648,1.06662,0.39512,0.37048,1.06662,0.32474,0.35965,0.24700,-0.57576,-0.64169,-0.68126,0.74832,2.71429,3.58175,4.27480,0.39633,0.35866,0.49835,1552.00000,2513.00000,3231.00000,3198.00000,3015.00000,2722.00000,1472.00000,822.00000,861.00000,419.00000,1119.00000,2024.00000,2931.00000,2743.00000,2471.00000,1188.00000,2410.00000,219.00000,526.00000,465.00000,3244.00000,282.00000,615.00000,467.00000,977.00000,1836.00000,3523.00000,3264.00000,2720.00000,1060.00000,0.33020,0.13058,0.09824,0.24544,0.32774,14.03624,0.37502,0.47738,0.58117
LR2018,Ndalu,Lungai,0.771188000000000,34.900530000000003,0.779332000000000,34.903010000000002,"43543",scduma43,7.140000000000000,"52",7.080000000000000,6.827500000000000,3.698279000000000,2166.311999999999898,7.04479,4.62331,1.09861,1.07734,1.07977,0.47767,0.45747,1.07977,0.37687,0.31132,0.32581,-0.72074,-0.70797,-0.70344,0.75495,5.16171,4.84872,4.74403,0.47989,0.46254,0.50300,1444.00000,2313.00000,3073.00000,3315.00000,2834.00000,2372.00000,1110.00000,506.00000,538.00000,229.00000,909.00000,1657.00000,2672.00000,2574.00000,2116.00000,834.00000,2977.00000,219.00000,509.00000,417.00000,3366.00000,239.00000,586.00000,470.00000,875.00000,1684.00000,3136.00000,2967.00000,2392.00000,870.00000,0.33534,0.11092,0.09498,0.30061,0.33987,0.00000,0.55575,0.58610,0.58636
LR2018,Ndalu,Lungai,0.782744000000000,34.908670000000001,0.779332000000000,34.903010000000002,"43544",scduma43,4.440000000000000,"32",5.150000000000000,5.355000000000000,-3.828200000000000,1529.758000000000038,7.81920,4.26386,1.44755,1.18290,1.13028,0.24053,0.34772,1.13028,0.44089,0.32962,0.31343,-0.52882,-0.56110,-0.62928,0.64685,2.24470,2.55689,3.39491,0.21667,0.34063,0.43721,1751.00000,2536.00000,2551.00000,2294.00000,2514.00000,2161.00000,1356.00000,969.00000,707.00000,376.00000,1176.00000,2022.00000,2895.00000,2547.00000,2250.00000,1253.00000,2657.00000,361.00000,747.00000,716.00000,3283.00000,368.00000,747.00000,704.00000,1129.00000,1938.00000,3374.00000,3194.00000,2671.00000,1244.00000,0.24903,0.18092,0.17867,0.27518,0.33576,54.46232,0.15885,0.35640,0.44337
LR2018,Ndalu,Lungai,0.785885000000000,34.903050000000000,0.779332000000000,34.903010000000002,"58133",scduma43,5.330000000000000,"39",6.270000000000000,5.555000000000000,12.871290000000000,1897.430000000000064,5.85294,5.07287,1.37588,1.13659,1.07879,0.27515,0.39087,1.07879,0.43279,0.31070,0.25971,-0.54396,-0.57959,-0.65983,0.72349,2.38554,2.75726,3.87934,0.25196,0.39043,0.48288,1769.00000,2556.00000,2713.00000,2529.00000,2674.00000,2348.00000,1256.00000,970.00000,747.00000,384.00000,1045.00000,1888.00000,2824.00000,2523.00000,2238.00000,1125.00000,2848.00000,335.00000,758.00000,637.00000,3235.00000,305.00000,663.00000,519.00000,869.00000,1689.00000,3311.00000,3134.00000,2456.00000,939.00000,0.27086,0.12370,0.10827,0.29184,0.32764,149.93141,0.20049,0.42832,0.54653
LR2018,Ndalu,Lungai,0.786043000000000,34.913919999999997,0.779332000000000,34.903010000000002,"58137",scduma43,5.330000000000000,"39",4.920000000000000,4.475000000000000,9.944134000000000,1452.941000000000031,,,1.12054,1.07018,1.06141,0.44559,0.48094,1.06141,0.28363,0.27147,0.25916,-0.60542,-0.65076,-0.68070,0.77018,3.06868,3.72674,4.26362,0.46217,0.49756,0.54331,1713.00000,2770.00000,3359.00000,3495.00000,3165.00000,2856.00000,1603.00000,749.00000,859.00000,418.00000,1194.00000,2168.00000,3137.00000,2884.00000,2662.00000,1423.00000,3252.00000,263.00000,688.00000,459.00000,3574.00000,273.00000,679.00000,464.00000,964.00000,1897.00000,3435.00000,3228.00000,2804.00000,1177.00000,0.35744,0.02411,0.04096,0.32842,0.36040,,0.44631,0.58583,0.61131
